source,target,relationship,notes
Isera Duskfall,Astral Conclave,represents,Serves as the Conclave's embedded liaison in Stormhaven
Isera Duskfall,Shadow Fangs,coordinates_with,Manages the working relationship while preparing contingencies if they become liabilities
Derrik "Stonehand" Veynor,Stormhaven,enforces,Acts as Kaelric's brutal chief enforcer inside the town
Derrik "Stonehand" Veynor,Shadow Fangs,serves,Leads intimidation and direct violence for the faction
Derrik "Stonehand" Veynor,Kaelric "The Veil",guards,Functions as Kaelric's right-hand battlefield lieutenant
Eric Torne,Stormhaven,rebels_in,Organizes local resistance against Shadow Fang control
Eric Torne,Shadow Fangs,opposes,Leads the rebellion seeking to break their rule over Stormhaven
Eric Torne,Astral Conclave,investigates,Suspects their local experiments are tied to disappearances and deeper abuses
Asmar,Talgin,separated_from,Construct and humanoid civilizations rebuilt on different continents after the Construct Accord
Asmar,Astral Conclave,targeted_by,Its crystal reserves and Sovereign-era systems are valuable to Conclave plans
Calyxis Forge,Asmar,located_in,Adaptive construct city carved into the western mountains of the continent
Heliox Prime,Asmar,located_in,Preservationist construct city dominating the eastern desert approaches
The Hollow Veins,Asmar,located_in,Collapsed under-network linking mines conduits and sealed Sovereign-era chambers
Magistra Pyra-IX,Calyxis Forge,leads,Ruler of the city and chief advocate of continuance through adaptation
Arch-Calculant Veyrix,Heliox Prime,leads,Mathematical ruler enforcing preservation through limits
Calyxis Forge,Heliox Prime,truce_with,Cold civil truce holds because neither city can afford renewed total war
Heliox Prime,Calyxis Forge,sabotages,Covert units target extraction infrastructure to slow depletion
Heliox Prime,The Calyxis Reclaimer,deploys,Mobile fortress used for crystal seizure and convoy raids
The Calyxis Reclaimer,Calyxis Forge,raids,Targets crystal routes and mine output without committing Heliox to open conventional war
The Calyxis Reclaimer,Asmar,operates_in,Desert siege crawler built for long-range pursuit and withdrawal
Asmar,Elemental Crucible,depends_on,Its crystal economy was extended by the Sovereign-era recharge network
Elemental Crucible,Planar Mechanics,intersects_with,Its recharge behavior depends on ley flow and severed elemental connections
Magistra Pyra-IX,Astral Conclave,opposes,Sees the Conclave as an existential threat to Asmar's survival
Arch-Calculant Veyrix,Astral Conclave,distrusts,Fears outside exploitation but may respond with ruthless restraint
Shattered Gears of Asmar,Asmar,centered_on,Quest arc begins with first contact and mine defense on the construct continent
Shattered Gears of Asmar,Calyxis Forge,begins_in,The party is escorted there after warning of the Conclave threat
Shattered Gears of Asmar,Heliox Prime,complicates,Heliox sabotage reframes the conflict as more than simple villainy
Shattered Gears of Asmar,The Calyxis Reclaimer,may_feature,Heliox crystal-heist chase can escalate the mine conflict into open moving warfare
Astral Conclave Field Technician,Astral Conclave,serves,Maintains temporary relay equipment and purges evidence during Asmar field operations
Astral Conclave Relay Handler,Astral Conclave,serves,Commands temporary relay sites and coordinates portal extraction
Astral Conclave Veil Escort,Astral Conclave,serves,Covers field teams long enough for evidence denial and escape
Sandglass Relay,Astral Conclave,operated_by,Temporary desert relay used to command the Reclaimer operation
Sandglass Relay,The Calyxis Reclaimer,commands,Sends desert relay packets to the Reclaimer obedience device
